,order,huc2,Q_decile,mu,sigma,mean,median
171,8.0,10,1,5.2328086053574605,0.7290266063765123,232.66468755580573,202.66666666666663
172,8.0,10,2,5.288481901213585,0.7147282220506997,242.82816926038694,219.0681818181818
173,8.0,10,3,5.354062158149427,0.6741202902034016,250.74338906057048,237.55157894736828
174,8.0,10,4,5.408390913172918,0.6706712489686908,263.3431294036196,250.06758698232196
175,8.0,10,5,5.4186809177178885,0.6788378044500891,267.3292147776318,254.61977573904176
176,8.0,10,6,5.487715552594153,0.6421987003259243,281.1333309664149,270.18
177,8.0,10,7,5.538434926318301,0.6040968043280034,290.3953168217939,282.79672406082284
178,8.0,10,8,5.671659836676982,0.5466838480307463,323.6478833869231,317.70508202474684
179,8.0,10,9,5.744578789139928,0.5479455024785151,348.4410415780735,342.58376037531514
180,9.0,10,0,5.898853627451952,0.3266996292703851,383.82055113983245,349.76308196209965
181,9.0,10,1,5.890998857381551,0.318371613003904,381.0261824453394,342.58897390621905
182,9.0,10,2,5.929653085329046,0.3318449804740747,398.33689724899915,351.0
183,9.0,10,3,5.931947322028087,0.3491825338345083,402.2077657591184,350.07136485280944
184,9.0,10,4,5.941217730662945,0.3656686709126432,407.2737647528082,348.54545454545456
185,9.0,10,5,5.962662048863519,0.36731564742591766,417.19226848450865,355.011452012648
186,9.0,10,6,6.017574205845217,0.3706187088660276,441.1959106983127,378.2597289024915
187,9.0,10,7,6.013223550491185,0.37015509266184166,438.0310485797616,385.37756273030357
188,9.0,10,8,6.013067488795933,0.38779885712702206,441.3706864765174,375.0106913756237
189,9.0,10,9,6.013518339403031,0.3886782931110012,443.92492382536625,363.46153846153845
190,10.0,10,0,,,,
191,10.0,10,1,,,,
192,10.0,10,2,,,,
193,10.0,10,3,,,,
194,10.0,10,4,,,,
195,10.0,10,5,,,,
196,10.0,10,6,,,,
197,10.0,10,7,,,,
198,10.0,10,8,,,,
199,10.0,10,9,,,,
200,1.0,05,0,5.823867034921397,1.0133838721510244,483.1098449254922,474.17420823515255
201,1.0,05,1,5.907171203867301,0.9951834289804389,520.1745453601494,507.62650265585637
202,1.0,05,2,5.947135652245036,0.9807946220898254,535.1403947796522,564.429607459422
203,1.0,05,3,6.044260882700646,0.9486766849240462,571.3550898038824,625.1606070603758
204,1.0,05,4,6.032206235884716,0.9878798568937057,567.7399275432721,598.3596178197305
205,1.0,05,5,5.886532215048635,1.032457967486357,512.8215887600862,490.60825112823954
206,1.0,05,6,6.156263901851462,0.7849433204014319,593.3606419902046,637.5
207,1.0,05,7,6.033672106801588,0.8792437599870692,554.8472620474282,599.9913664095775
208,1.0,05,8,5.954477604260627,0.8436653875279764,511.6598415624929,485.1986513756947
209,1.0,05,9,6.047463086151292,0.8217807324957503,545.716719365832,528.5148122851181
210,2.0,05,0,5.532675714668594,0.8445519437406479,353.0728744796491,223.68655170312584
211,2.0,05,1,5.598150084282978,0.8181631245527272,364.0008183830052,231.4849795868624
212,2.0,05,2,5.710551023249608,0.778647978648099,404.62765373230917,259.97152998595
213,2.0,05,3,5.796993425491735,0.8456320353537033,447.555123121159,356.8392089423896
214,2.0,05,4,5.790183463216104,0.9892296631751595,459.15772061481033,371.2150386935593
215,2.0,05,5,5.766978292327353,0.9644326306735483,453.6970893183486,356.6053256961795
216,2.0,05,6,5.815705780006574,0.9116461951345174,461.7360088962107,361.45454545454544
217,2.0,05,7,5.928121228649301,0.8075931642594173,505.27839302817347,374.68116938950897
218,2.0,05,8,5.82748539202862,0.7277325923925054,432.84026661752614,361.45454545454544
219,2.0,05,9,5.93074696832585,0.870897883826467,535.540210669061,387.12613470309503
220,3.0,05,0,4.899885947133797,1.504804382405496,344.10912616153996,89.72727272727272
221,3.0,05,1,5.354820630532745,1.4875051731098694,462.4997350040743,234.81521739130437
222,3.0,05,2,5.1366028219789195,1.4268763491108347,385.26202111588833,205.5
223,3.0,05,3,5.273824244093049,1.4501088342940782,432.0981008549554,205.5
224,3.0,05,4,4.97209060392901,1.4577236871345651,358.595826502636,89.72727272727272
225,3.0,05,5,4.9801323032640665,1.4595723233140172,357.6013267150469,86.39608100477668
226,3.0,05,6,5.332319133898057,1.4867132502803717,469.84623416910324,218.34375
227,3.0,05,7,5.70083590113052,1.3865314029649691,568.0211279483527,662.0655737704918
228,3.0,05,8,5.031629352901535,1.3674884963977103,355.99888181216704,87.35062645932214
229,3.0,05,9,5.071886961125701,1.3663662029842456,388.16297113910144,86.94721870293789
230,4.0,05,0,4.193538563920253,1.2777683241748405,153.84886462102278,46.285714285714285
231,4.0,05,1,4.200267043587598,1.2609917565692603,150.24810671625858,45.0
232,4.0,05,2,4.0598213302995765,1.1182325343652069,121.84919565467082,46.285714285714285
233,4.0,05,3,4.448598772340359,1.3462046867891366,192.36911419319978,55.883523619985326
234,4.0,05,4,4.285636227913377,1.1554265007515756,147.25761533216013,50.400000000000006
235,4.0,05,5,4.454538122308535,1.2631584753318488,186.34303465446885,54.274205789873136
236,4.0,05,6,4.358122154211044,1.1940242697264534,161.57993097922918,54.0
237,4.0,05,7,4.373475225321191,1.2017512879881187,174.10605100341638,50.40915697674418
238,4.0,05,8,4.356840206835848,1.2031278701650723,158.0590346474491,54.0
239,4.0,05,9,4.2192839566705285,0.99405401176502,126.39594174239042,56.11828048884714
240,5.0,05,0,4.115852399434858,0.8773953252097821,85.59126248252761,62.30769230769232
241,5.0,05,1,4.16762623736819,0.8666596252516469,90.05878252425192,63.75
242,5.0,05,2,4.041142415226421,0.8410037693438319,78.95068921270884,54.60076045627376
243,5.0,05,3,4.087111419365593,0.8337812902281939,81.43707742422465,60.25243229029716
244,5.0,05,4,4.207490567308215,0.8282571328591187,90.68605335998305,69.51229997611657
245,5.0,05,5,4.279860401737033,0.7954538285885506,95.68563635049114,73.94393150914895
246,5.0,05,6,4.246357004143565,0.8097517043776526,93.40505028376764,70.875
247,5.0,05,7,4.319316910562117,0.7774708731399653,98.74077159301704,75.375
248,5.0,05,8,4.248857866622426,0.7326705215746026,89.63547118546009,69.15508396265658
249,5.0,05,9,4.372476399840728,0.742462806244924,101.23933061526908,78.16666666666667
250,6.0,05,0,4.576369405139724,0.8021888993220444,128.72837465757783,95.55133079847909
251,6.0,05,1,4.592037567823319,0.8305717186803986,131.31249913665656,98.1818181818182
252,6.0,05,2,4.606525597037203,0.8173545323994489,130.77205537083475,99.6923076923077
253,6.0,05,3,4.620650295648915,0.8177956114903447,134.20648637502578,98.62375580623764
254,6.0,05,4,4.647836792144776,0.8067206502901181,134.75208545428544,101.09249622293108
255,6.0,05,5,4.70655884326113,0.7806508452328493,142.40454255005903,107.30941019278492
256,6.0,05,6,4.7668928277065765,0.7388567324279763,147.983955218202,113.62430024880041
257,6.0,05,7,4.7794566308808415,0.6950760091378947,147.9183181611083,113.0625
258,6.0,05,8,4.807757000193638,0.6731676047521894,151.62509941187565,112.90909090909092
259,6.0,05,9,4.909332612380651,0.6901809322873054,168.066269615123,125.1943118915824
260,7.0,05,0,5.0780114895156965,0.6132163700702699,192.583111876824,161.70040685488848
261,7.0,05,1,5.130026835443776,0.5807585409154019,199.37883272676476,168.14022471910116
