,area_km2,length_km,mean_width,Q_decile,order
78,319.6384250493435,68975.81971076423,4.634064899695006,5,4
79,153.26992561850503,19730.003414612565,7.768367921568084,5,5
80,9.147594785247232,725.4832465609269,12.608967648268095,5,6
81,1.2358468285897277,50.40877918235023,24.51649987632389,5,7
82,0.0,0.0,33.012127885030274,5,8
83,0.0,0.0,64.29685806053388,5,9
84,0.0,0.0,113.89565822696709,5,10
85,0.0,0.0,231.7051961685378,5,11
86,0.0,0.0,313.1176032301765,5,12
87,0.0,0.0,550.9759672730783,5,13
88,0.0,0.0,949.3899627360062,5,14
89,0.0,0.0,1507.5365905601782,5,15
90,328.3088665841787,447165.5851605476,0.7341997628603388,6,1
91,454.9230256013243,233405.45501722995,1.9490676666821773,6,2
92,277.69117971337795,127158.62005637986,2.183817185105144,6,3
93,352.65559939123165,76948.79621370483,4.582990465657506,6,4
94,228.72540373855549,29018.991872538347,7.881921079243488,6,5
95,19.066557863919897,1492.1046922246917,12.778297637742915,6,6
96,1.8065836884679,72.42640687119285,24.943715510847152,6,7
97,0.0,0.0,32.93803838281255,6,8
98,0.0,0.0,64.01352933769478,6,9
99,0.0,0.0,115.71521729488151,6,10
100,0.0,0.0,231.6403708644024,6,11
101,0.0,0.0,314.47921558335213,6,12
102,0.0,0.0,541.7455988882792,6,13
103,0.0,0.0,962.7477541982385,6,14
104,0.0,0.0,1530.0883598229689,6,15
105,385.2165338666708,522560.1831092034,0.7371716145203683,7,1
106,545.0170249817521,272530.9363441848,1.999835439942272,7,2
107,318.51929168130096,145999.5410423773,2.181645842221166,7,3
108,391.45945133995707,86363.85490385772,4.532676914152789,7,4
109,325.6495741522605,40720.685009360735,7.997153635244625,7,5
110,58.81428148595367,4541.594411400643,12.950139567354087,7,6
111,4.33668064455597,170.87803594476767,25.37880670607485,7,7
112,0.0,0.0,32.86553152041247,7,8
113,0.0,0.0,63.73805461801985,7,9
114,0.0,0.0,117.57619623755882,7,10
115,0.0,0.0,231.58188357168507,7,11
116,0.0,0.0,315.9211695732277,7,12
117,0.0,0.0,532.8670918530252,7,13
118,0.0,0.0,976.563404956411,7,14
119,0.0,0.0,1553.420280843985,7,15
120,481.123534720729,649850.5709418176,0.740360255471415,8,1
121,691.6385202115704,337060.2575157703,2.051972918163483,8,2
122,388.8748084979276,178401.88422763217,2.1797685051450584,8,3
123,456.4152717800658,101807.69977303653,4.483111521010379,8,4
124,447.60752258302944,55164.22463110588,8.114090709626932,8,5
125,164.78703368334934,12555.648758105002,13.124533575134853,8,6
126,20.885962405560058,808.8460408696699,25.82192574387025,8,7
127,1.039939485874309,31.710695141770604,32.794597571103346,8,8
128,0.0,0.0,63.47034312202033,8,9
129,0.0,0.0,119.47965535776473,8,10
130,0.0,0.0,231.52972949816717,8,11
131,0.0,0.0,317.44451465451397,8,12
132,0.0,0.0,524.3281587517993,8,13
